path,category,description,materials,gemstones,gender,detected_category
data/Jewellery_Data\ring\ring_079.jpg,ring,A slim yellow gold band features a hammered or textured finish across its surface. The ring has a slightly rounded profile and a polished inner band.,Gold,,,Ring
data/Jewellery_Data\ring\ring_080.jpg,ring,A yellow gold band features a grooved design with multiple parallel lines running around its circumference. The ring has a polished finish and a slightly rounded profile.,Gold,,,Ring
data/Jewellery_Data\ring\ring_081.jpg,ring,"A classic, polished band in a light-colored metal, likely platinum or white gold, features a slightly domed profile. The ring has a smooth, reflective surface and a timeless, minimalist design.","Gold,White Gold,Platinum",,,Ring
data/Jewellery_Data\ring\ring_082.jpg,ring,"A Caratlane 18kt yellow gold ring features an intricate, floral-inspired openwork design. The center of the flower is accented with a small, round white gold or diamond detail.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_083.jpg,ring,"A yellow gold ring features a stylized, cursive initial ""M"" in white gold, pavé-set with diamonds. The band has a double shank design, adding a contemporary touch.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_084.jpg,ring,"A wide yellow gold band features a textured center panel with a hammered or granulated effect. The edges are smooth and polished, creating a contrast in finishes",Gold,,,Ring
data/Jewellery_Data\ring\ring_085.jpg,ring,"A yellow gold ring features a heart-shaped diamond in a halo setting. The band has a split shank design with pavé-set diamonds, adding extra sparkle.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_086.jpg,ring,"A 925 sterling silver ring features two intertwined hearts, one in rose gold, each set with a small diamond. The band has a split shank design, adding a modern touch.","Gold,Diamond,Rose Gold,Silver",Diamond,,Ring
data/Jewellery_Data\ring\ring_087.jpg,ring,"A yellow gold ring features an emerald-cut emerald in a halo setting. The halo is comprised of small diamonds, creating a classic and elegant design","Gold,Diamond","Diamond,Emerald",,Ring
data/Jewellery_Data\ring\ring_088.jpg,ring,"A yellow gold ring features a curved band with a bezel-set, oval-cut blue topaz gemstone. The design has a modern, minimalist aesthetic.",Gold,Topaz,,Ring
data/Jewellery_Data\ring\ring_089.jpg,ring,"A delicate 14k white gold band is set with small, round diamonds along its top half. The diamonds are likely pavé-set, creating a continuous line of sparkle.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_090.jpg,ring,"A yellow gold ring features a round purple amethyst, set in a halo of diamonds. The setting has an intricate, open design with swirling details","Gold,Diamond","Diamond,Amethyst",,Ring
data/Jewellery_Data\ring\ring_091.jpg,ring,"A yellow gold ring features a round diamond in a partial halo setting. The band has a bypass design with pavé-set diamonds, creating a swirling, elegant look.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_092.jpg,ring,"A yellow gold ring features a floral design with a cluster of diamonds at its center. The band has a bypass design with a slender, polished finish.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_093.jpg,ring,"A yellow gold ring features a round diamond in a prong setting, flanked by two open heart shapes. The band has a slender, polished finish, creating a delicate and romantic piece.","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_094.jpg,ring,"A yellow gold ring features a floral design with a cluster of diamonds at its center. The band has a bypass design with pavé-set diamonds, adding to the ring's sparkle.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_095.jpg,ring,"A rose gold ring features a pear-shaped ruby in a prong setting. The ring also has a stylized heart-shaped accent with small diamonds, creating a romantic and elegant design.","Gold,Diamond,Rose Gold","Diamond,Ruby",Men,Ring
data/Jewellery_Data\ring\ring_096.jpg,ring,"A yellow gold ring features a square cluster of nine diamonds in a square setting. The band has an intricate, openwork design with geometric patterns.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_097.jpg,ring,"A two-tone ring features a square rose gold panel with a single diamond at its center. The band is crafted in white gold with a grooved design, creating a contemporary and elegant look.","Gold,White Gold,Diamond,Rose Gold",Diamond,,Ring
data/Jewellery_Data\ring\ring_098.jpg,ring,"A white gold ring features three small diamonds set in square bezels. The band has a bypass design with a slender, polished finish.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_099.jpg,ring,"A two-tone ring spells out the word ""LOVE"" in a stylized font. The ""O"" is represented by a rose gold heart with a small diamond at its center. The rest of the ring is crafted in white gold","Gold,White Gold,Diamond,Rose Gold",Diamond,,Ring
data/Jewellery_Data\ring\ring_100.jpg,ring,"A yellow gold ring features two small diamonds set in leaf-shaped bezels. The band has a slender, bypass design, creating a delicate and nature-inspired piece.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_101.jpg,ring,"A yellow gold ring features two small diamonds set in leaf-shaped bezels. The band has a slender, bypass design, creating a delicate and nature-inspired piece.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_102.jpg,ring,"A white gold ring spells out the word ""LOVE"" with a heart-shaped cluster of diamonds as the ""O"". The band has a slender, polished finish, creating a delicate and romantic design","Gold,White Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_103.jpg,ring,"A yellow gold ring features a knot design with one section pavé-set with diamonds. The ring has a polished finish and a slender, elegant profile.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_104.jpg,ring,"A yellow gold ring features a heart-shaped setting with a single diamond at its center. The band has an open, bypass design, creating a delicate and romantic look.","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_105.jpg,ring,"A yellow gold ring features a cluster of nine gemstones, representing the Navratna (nine gems) in Vedic astrology. The band has a double shank design and a polished finish.",Gold,,,Ring
data/Jewellery_Data\ring\ring_106.jpg,ring,"A yellow gold ring features a heart-shaped ruby in a bezel setting. The band has an open, bypass design, creating a modern and delicate look.",Gold,Ruby,,Ring
data/Jewellery_Data\ring\ring_107.jpg,ring,"A yellow gold band features a small, round diamond set in a bezel setting with a unique, geometric shape. The ring has a smooth, polished finish and a contemporary design.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_108.jpg,ring,a plain wedding ring in white gold,"Gold,White Gold",,,Ring
data/Jewellery_Data\ring\ring_109.jpg,ring,"A white gold band features a grooved design with two parallel lines running around its circumference, creating a channel effect. The ring has a polished finish and a slightly rounded profile.","Gold,White Gold",,,Ring
data/Jewellery_Data\ring\ring_110.jpg,ring,"A white gold ring features a square cluster of nine diamonds in a channel setting. The band has two yellow gold stripes running along its sides, adding a touch of contrast.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_111.jpg,ring,"A yellow gold ring features a triangular cluster of diamonds at its center, surrounded by a swirling, openwork design. The ring has a modern, sculptural aesthetic.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_112.jpg,ring,"A 9ct white gold ring features a crossover design with a row of small diamonds. The ring has a polished finish and a slender, elegant profile.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_113.jpg,ring,"A yellow gold bridal set features a cluster of diamonds in a square halo setting for the engagement ring, accompanied by a matching diamond-accented wedding band. Both rings have pavé-set diamonds along the bands, creating a sparkling, cohesive look.","Gold,Diamond",Diamond,"Women,Men",Ring
data/Jewellery_Data\ring\ring_114.jpg,ring,A yellow gold ring features a rectangular setting with nine diamonds in a square cluster. The band has an openwork design and white gold accents.,"Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_115.jpg,ring,"An 18k rose gold ring features an intricate, openwork floral design. The ring has a polished finish and a delicate, feminine aesthetic.","Gold,Rose Gold",,,Ring
data/Jewellery_Data\ring\ring_116.jpg,ring,"A white gold band features a floral-inspired design with diamond accents. The ring has a polished finish and a delicate, nature-inspired aesthetic.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_117.jpg,ring,"A white gold ring features a slender, bypass design with three small diamonds set in a curved, elongated setting. The ring has a polished finish and a delicate, minimalist aesthetic.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_118.jpg,ring,"A yellow gold band features a wide, intricate design with diamonds set in geometric patterns. The ring is heavily embellished with pavé-set diamonds along the edges and within the central design.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_119.jpg,ring,A white gold ring features a heart-shaped blue topaz in a bezel setting. The band has a bypass design with small diamond accents on each side.,"Gold,White Gold,Diamond","Diamond,Topaz",,Ring
data/Jewellery_Data\ring\ring_120.jpg,ring,"A 925 sterling silver ring features a heart-shaped design with a small cluster of round diamonds. The band has a slender, polished finish, creating a delicate and romantic piece.","Diamond,Silver",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_121.jpg,ring,"A classic, polished yellow gold band features a slightly domed profile. The ring has a smooth, reflective surface and a timeless, minimalist design, often used for wedding or engagement bands.",Gold,,Men,Ring
data/Jewellery_Data\ring\ring_122.jpg,ring,"Lali Geometric Gold Ring, featuring a unique design with a gold cube and a textured gold sphere. The ring has an open, adjustable band and showcases a modern, minimalist aesthetic.",Gold,,,Ring
data/Jewellery_Data\ring\ring_123.jpg,ring,"A yellow gold ring features a row of small diamonds in a channel setting with a unique, openwork design. The ring has a polished finish and a contemporary, textured look.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_124.jpg,ring,"A white gold ring features three small diamonds in a cluster setting, forming a triangular shape. The band has a slender, polished finish and a delicate, minimalist design.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_125.jpg,ring,"A yellow gold ring features a pear-shaped ruby and a pear-shaped diamond side by side. The band has a slender, polished finish and a bypass design.","Gold,Diamond","Diamond,Ruby",,Ring
data/Jewellery_Data\ring\ring_126.jpg,ring,"A yellow gold ring features a single round diamond in a prong setting. The band has a bypass design with a slender, polished finish.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_127.jpg,ring,"A platinum band features a grooved design with two parallel lines running around its circumference, creating a channel effect. The ring has a brushed finish on the center and polished edges.",Platinum,,,Ring
data/Jewellery_Data\ring\ring_128.jpg,ring,"A yellow gold ring features a pear-shaped, solid gold element at its center. The band has a unique, open design with two small gold balls at the ends.",Gold,,Men,Ring
data/Jewellery_Data\ring\ring_129.jpg,ring,"A yellow gold ring features an infinity symbol design with one side pavé-set with diamonds. The ring has a polished finish and a slender, elegant profile.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_130.jpg,ring,"A yellow gold ring features a complex, interwoven design with diamond accents set in white gold squares. The ring has a textured, rope-like border and a substantial, statement-making presence.","Gold,White Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_131.jpg,ring,"A yellow gold ring features a pear-shaped amethyst in a bezel setting. The band has an intricate, openwork design with swirling patterns.",Gold,Amethyst,,Ring
data/Jewellery_Data\ring\ring_132.jpg,ring,A yellow gold band features a row of small diamonds in a channel setting. The ring has a polished finish and a slightly tapered design.,"Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_133.jpg,ring,"A white gold ring features a heart-shaped setting with pavé-set diamonds. The band is accented with a row of pink sapphires on each side, creating a delicate and romantic design.","Gold,White Gold,Diamond","Diamond,Sapphire",Men,Ring
data/Jewellery_Data\ring\ring_134.jpg,ring,A white gold band features a single round diamond in a bezel setting. The ring has a grooved design and a polished finish.,"Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_135.jpg,ring,"A yellow gold ring features a small, floral-shaped cluster of diamonds at its center. The band has a slender, polished finish and a delicate, minimalist design.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_136.jpg,ring,A yellow gold ring features a wide band with a repeating diamond floral pattern. The ring is heavily embellished with pavé-set diamonds along the edges and within the central design.,"Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_137.jpg,ring,"Diamond Flower Ring, featuring a central cluster of round diamonds surrounded by marquise-shaped diamonds, forming a floral motif. The ring has a yellow gold band with a polished finish.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_138.jpg,ring,"A yellow gold ring features a heart-shaped design with pavé-set diamonds on one side. The band has a knot detail, creating a unique and romantic look.","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_139.jpg,ring,"A yellow gold ring features two butterfly-shaped clusters of diamonds. The band has a slender, bypass design, creating a delicate and whimsical look.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_140.jpg,ring,"A yellow gold ring features a round diamond in a four-prong setting. The band is slender and polished, creating a classic solitaire design.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_141.jpg,ring,A rose gold band features a diagonal channel set with small diamonds. The ring has a grooved design and a polished finish.,"Gold,Diamond,Rose Gold",Diamond,,Ring
data/Jewellery_Data\ring\ring_142.jpg,ring,A rose gold band features a diagonal channel set with small diamonds. The ring has a grooved design and a polished finish.,"Gold,Diamond,Rose Gold",Diamond,,Ring
data/Jewellery_Data\ring\ring_143.jpg,ring,"A yellow gold ring features a heart-shaped setting with a double halo of diamonds. The ring has a polished finish and a slender band, creating a romantic and elegant design.","Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_144.jpg,ring,"A yellow gold ring features a floral-shaped cluster of round diamonds at its center, flanked by two square diamonds. The band is slender and polished, creating a delicate and elegant design.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_145.jpg,ring,"A white gold ring features a knot design with two rows of pavé-set diamonds. The ring has a polished finish and a slender, elegant profile.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_146.jpg,ring,"A yellow gold ring features a cluster of diamonds in a square setting, flanked by two rows of smaller diamonds. The band has a bypass design with a polished finish.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_147.jpg,ring,"A yellow gold ring features a small, round cluster of diamonds in a bezel setting. The band has a slender, polished finish and a slightly curved design.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_148.jpg,ring,"A yellow gold ring features a row of five small diamonds set in a curved, prong setting. The band has a slender, polished finish and a bypass design, creating a delicate and elegant look.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_149.jpg,ring,"A yellow gold ring features a round cluster of diamonds in a bezel setting with a white gold rim. The band has a bypass design with a twisted effect, creating a modern and elegant look.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_150.jpg,ring,"A rose gold ring features a double heart design with a row of small diamonds connecting the two hearts. The ring has a polished finish and a delicate, romantic aesthetic.","Gold,Diamond,Rose Gold",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_151.jpg,ring,"A yellow gold ring features a pear-shaped amethyst cabochon in a bezel setting. The setting is surrounded by a halo of small diamonds, and a delicate gold chain connects the setting to the band.","Gold,Diamond","Diamond,Amethyst",,"Ring,Necklace"
data/Jewellery_Data\ring\ring_152.jpg,ring,"A yellow gold ring features a floral design with pavé-set diamonds forming a six-petal flower. The ring has a polished finish and a delicate, feminine aesthetic.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_153.jpg,ring,"A yellow gold ring features a floral-shaped cluster of diamonds at its center. The diamonds are set in a prong setting, creating a sparkling and delicate design. The band is slender and polished.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_154.jpg,ring,"A yellow gold ring features a cluster of nine gemstones, representing the Navratna (nine gems) in Vedic astrology. The band has a bypass design and a polished finish.",Gold,,,Ring
data/Jewellery_Data\ring\ring_155.jpg,ring,"A gold ring with a circular top, featuring a diamond-encrusted initial ""P,"" ideal for personalization.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_156.jpg,ring,"A dazzling white gold ring with a concentric diamond cluster design, creating a sparkling halo effect.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_157.jpg,ring,"A romantic dual-tone ring featuring intertwined hearts and an infinity symbol, accented with diamonds",Diamond,Diamond,Men,Ring
data/Jewellery_Data\ring\ring_158.jpg,ring,"A stunning combination of white and yellow gold with a central solitaire diamond. The design features a geometric gold setting with small accent diamonds, giving it a unique and contemporary touch.","Gold,Diamond",Diamond,,
data/Jewellery_Data\ring\ring_159.jpg,ring,"Floral Dome Gold Ring:This statement ring has a hammered gold dome with a floral diamond arrangement at the center. The silver band has an intricate split design, adding elegance and charm.","Gold,Diamond,Silver",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_160.jpg,ring,"A sleek and modern wedding band made of platinum or white gold, featuring a single embedded diamond in the center.","Gold,White Gold,Diamond,Platinum",Diamond,,Ring
data/Jewellery_Data\ring\ring_161.jpg,ring,A charming gold ring featuring two lovebirds with ruby inlays for their bodies. The artistic detailing makes it a romantic and symbolic piece.,Gold,Ruby,Men,Ring
data/Jewellery_Data\ring\ring_162.jpg,ring,A gorgeous yellow gold band adorned with multiple diamond-encrusted flowers. The alternating floral pattern makes it a perfect choice for those who love nature-inspired designs,"Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_163.jpg,ring,A bold and modern statement ring featuring a rectangular gold frame with black enamel inlays. The geometric pattern makes it a trendy and eye-catching accessory.,Gold,,Men,Ring
data/Jewellery_Data\ring\ring_164.jpg,ring,"A timeless gold wedding band with intricate milgrain detailing along the edges. The design gives it a vintage appeal, making it a great choice for traditional jewelry lovers.",Gold,,,Ring
data/Jewellery_Data\ring\ring_165.jpg,ring,A platinum ring with a leaf-like design.,Platinum,,,Ring
data/Jewellery_Data\ring\ring_166.jpg,ring,"A white gold ring showcases a central cluster of round diamonds flanked by baguette and marquise-cut diamonds. The design creates a sparkling, elongated floral effect with a mix of diamond shapes","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_167.jpg,ring,"A yellow gold ring with two entwined, diamond-accented hearts.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_168.jpg,ring,"A yellow gold ring features an oval-cut emerald at its center, surrounded by a halo of alternating diamonds and smaller emeralds. The design creates a vibrant and elegant floral-inspired look.","Gold,Diamond","Diamond,Emerald",,Ring
data/Jewellery_Data\ring\ring_169.jpg,ring,"A yellow gold ring features a floral-inspired cluster of diamonds in the center. The design combines round brilliant and baguette-cut diamonds, creating a sparkling and textured effect.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_170.jpg,ring,"A rose gold band ring features intricate, swirling filigree detailing along its edges. The band has a slightly contoured shape, adding a touch of vintage elegance.","Gold,Rose Gold",,,Ring
data/Jewellery_Data\ring\ring_171.jpg,ring,"A white gold bridal set features a square halo engagement ring with a center princess-cut diamond. The matching band is adorned with pavé diamonds and milgrain detailing, complementing the intricate design of the engagement ring.","Gold,White Gold,Diamond",Diamond,"Women,Men",Ring
data/Jewellery_Data\ring\ring_172.jpg,ring,"A gold ring with a circular top, featuring a diamond-encrusted initial ""A,"" ideal for personalization","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_173.jpg,ring,"A two-tone men's ring features a rectangular cluster of diamonds in a yellow gold setting. The wide, white gold band is accented with yellow gold details on the shoulders, creating a masculine and contemporary design.","Gold,White Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_174.jpg,ring,"A two-tone ring features a cluster of nine diamonds set in a white gold center. The design incorporates yellow gold accents in the form of parallel bands along the sides, creating a modern and structured look.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_175.jpg,ring,"A brushed white gold band features three bezel-set diamonds, each nestled in a leaf-shaped accent. The diamonds are aligned along a central groove, creating a subtle, nature-inspired design.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_176.jpg,ring,"A rose gold band ring features a delicate floral design. Three flower motifs, each set with small diamonds, are arranged in a row, creating a feminine and elegant look","Gold,Diamond,Rose Gold",Diamond,,Ring
data/Jewellery_Data\ring\ring_177.jpg,ring,"A yellow gold ring features a large, round gemstone, possibly smoky quartz, with a faceted cut. The setting includes intricate, filigree-style cutouts around the stone, adding a vintage-inspired touch.",Gold,,,Ring
data/Jewellery_Data\ring\ring_178.jpg,ring,"A modern, white gold ring with a dynamic, crossover design. The intersecting bands are pavé-set with sparkling diamonds, creating a bold and eye-catching statement.","Gold,White Gold,Diamond",Diamond,Men,Ring
data/Jewellery_Data\ring\ring_179.jpg,ring,"A wide, white gold band intricately set with numerous small diamonds. The design features floral-inspired cutouts and a scalloped, diamond-encrusted edge.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_180.jpg,ring,"A sleek platinum ring with a contemporary design. It showcases a solitary, brilliant-cut diamond held in a smooth bezel setting.","Diamond,Platinum",Diamond,,Ring
data/Jewellery_Data\ring\ring_181.jpg,ring,a gold wedding ring with texture pattern,Gold,,,Ring
data/Jewellery_Data\ring\ring_182.jpg,ring,"A yellow gold ring features three rows of diamonds, each set in a channel between yellow gold bars. The band has a grooved design and a polished finish.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_183.jpg,ring,"A two-tone ring features three rows of diamonds, each set in a channel between yellow gold bars. The band has a grooved design in white gold on the sides, creating a textured and modern look.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_184.jpg,ring,A yellow gold ring features a wide band with diamond floral motifs. The ring is heavily embellished with pavé-set diamonds along the edges and within the central design.,"Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_185.jpg,ring,"A white gold ring features multiple rows of pavé-set diamonds, creating a wide, sparkling band. The ring has a polished finish and a substantial, luxurious feel.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_187.jpg,ring,"A white gold band features two small diamonds in a bezel setting, forming a subtle, stylized bow. The ring has a brushed finish and a contemporary, minimalist design.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_188.jpg,ring,"A gold ring with a round-cut blue gemstone, held by an intricate gold design that adds an elegant, vintage touch.",Gold,,,Ring
data/Jewellery_Data\ring\ring_189.jpg,ring,"A delicate gold ring with a curved design featuring two small diamonds, perfect for minimalistic elegance.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_190.jpg,ring,"A two-tone ring features three rows of diamonds, each set in a channel between yellow gold bars. The band has a grooved design in white gold on the sides, creating a textured and modern look.","Gold,White Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_191.jpg,ring,"A yellow gold ring features three rows of diamonds, each set in a channel between yellow gold bars. The band has a grooved design and a polished finish.","Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_192.jpg,ring,"A yellow gold ring features a cluster of nine gemstones, representing the Navratna (nine gems) in Vedic astrology. The band has a double shank design and a polished finish.",Gold,,,Ring
data/Jewellery_Data\ring\ring_193.jpg,ring,A simple and elegant gold ring with four small diamonds arranged in a square setting.,"Gold,Diamond",Diamond,,Ring
data/Jewellery_Data\ring\ring_064.png,ring,"A yellow gold ring features a princess-cut diamond in a four-prong setting. The band is smooth and polished, emphasizing the diamond's clarity and cut.","Gold,Diamond",Diamond,,Ring
